"LineNumber","Line","Path"
"359","            {label && <Text style={styles.label}>{label}</Text>}","E:\rent\Replit rental app new\mobile\src\components\LocationPicker.tsx"
"126","                        <Text style={styles.label}>","E:\rent\Replit rental app new\mobile\src\components\ReviewModal.tsx"
"137","                        <Text style={styles.label}>Comments (Optional)</Text>","E:\rent\Replit rental app new\mobile\src\components\ReviewModal.tsx"
"27","      {label && <Text style={styles.label}>{label}</Text>}","E:\rent\Replit rental app new\mobile\src\components\ui\Input.tsx"
"466","                                    {d.label}","E:\rent\Replit rental app new\mobile\src\screens\EditListingScreen.tsx"
"474","                            const label = DURATIONS.find(d => d.id === duration)?.label;","E:\rent\Replit rental app new\mobile\src\screens\EditListingScreen.tsx"
"580","                                        <Text style={[styles.smallChipText, category === cat.id && styles.smallChipTextActive]}>{cat.label}</Text>","E:\rent\Replit rental app new\mobile\src\screens\EditListingScreen.tsx"
"719","                                    {method.label}","E:\rent\Replit rental app new\mobile\src\screens\EditListingScreen.tsx"
"520","                {category.label}","E:\rent\Replit rental app new\mobile\src\screens\HomeScreen.tsx"
"187","            setDurationSuggestion(`Consider selecting ""${DURATION_CONSTRAINTS[suggestedDuration]?.label || suggestedDuration}"" for this time frame.`);","E:\rent\Replit rental app new\mobile\src\screens\ListingDetailScreen.tsx"
"861","                      {DURATION_CONSTRAINTS[duration as DurationType]?.label || duration}","E:\rent\Replit rental app new\mobile\src\screens\ListingDetailScreen.tsx"
"1041","            {selectedDuration && DURATION_CONSTRAINTS[selectedDuration] ? `${DURATION_CONSTRAINTS[selectedDuration].label} Price` : 'Starting from'}","E:\rent\Replit rental app new\mobile\src\screens\ListingDetailScreen.tsx"
"1168","                  <Text style={styles.summaryValue}>{selectedDuration && DURATION_CONSTRAINTS[selectedDuration] ? DURATION_CONSTRAINTS[selectedDuration].label : 'Not Selected'}</Text>","E:\rent\Replit rental app new\mobile\src\screens\ListingDetailScreen.tsx"
"1207","                        {DURATION_CONSTRAINTS[duration as DurationType]?.label || duration}","E:\rent\Replit rental app new\mobile\src\screens\ListingDetailScreen.tsx"
"1255","                    {selectedDuration && DURATION_CONSTRAINTS[selectedDuration] ? DURATION_CONSTRAINTS[selectedDuration].label : 'Rental'} Rate","E:\rent\Replit rental app new\mobile\src\screens\ListingDetailScreen.tsx"
"401","                  {cat.label}","E:\rent\Replit rental app new\mobile\src\screens\MapSearchScreen.tsx"
"521","                  {d.label}","E:\rent\Replit rental app new\mobile\src\screens\PostListingScreen.tsx"
"529","              const label = DURATIONS.find(d => d.id === duration)?.label;","E:\rent\Replit rental app new\mobile\src\screens\PostListingScreen.tsx"
"667","                    <Text style={[styles.smallChipText, category === cat.id && styles.smallChipTextActive]}>{cat.label}</Text>","E:\rent\Replit rental app new\mobile\src\screens\PostListingScreen.tsx"
"758","                  {method.label}","E:\rent\Replit rental app new\mobile\src\screens\PostListingScreen.tsx"
"950","                {opt.label}","E:\rent\Replit rental app new\mobile\src\screens\SearchScreen.tsx"
"1155","                        {cat.label}","E:\rent\Replit rental app new\mobile\src\screens\SearchScreen.tsx"
"1222","                        {dur.label}","E:\rent\Replit rental app new\mobile\src\screens\SearchScreen.tsx"
"1252","                        {opt.label}","E:\rent\Replit rental app new\mobile\src\screens\SearchScreen.tsx"
